#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2024 05 01 12 40 319 13.0 16.1  2.84  9.09  6.22 321 1016.2  10.3 999.0   8.1 99.0 99.00 
2024 05 01 12 50 320 13.2 15.8 99.00 99.00 99.00 999 1016.2  10.3 999.0   8.0 99.0 99.00 
2024 05 01 13 00 320 12.9 16.2 99.00 99.00 99.00 999 1016.3  10.3 999.0   8.0 99.0 99.00 
2024 05 01 13 10 319 13.1 16.2 99.00 99.00 99.00 999 1016.3  10.3 999.0   8.1 99.0 99.00 
2024 05 01 13 20 319 12.6 16.0 99.00 99.00 99.00 999 1016.6  10.2 999.0   8.1 99.0 99.00 
2024 05 01 13 30 322 11.8 15.2 99.00 99.00 99.00 999 1016.8  10.2 999.0   8.0 99.0 99.00 
2024 05 01 13 40 323 11.2 14.1  2.97 10.00  6.38 310 1016.7  10.1 999.0   8.1 99.0 99.00 
2024 05 01 13 50 321 12.3 14.8 99.00 99.00 99.00 999 1016.8  10.2 999.0   8.0 99.0 99.00 
2024 05 01 14 00 318 13.1 15.9 99.00 99.00 99.00 999 1016.7  10.2 999.0   8.1 99.0 99.00 
2024 05 01 14 10 317 13.2 16.7  2.86 11.43  6.30 324 1016.8  10.2 999.0   8.2 99.0 99.00 
2024 05 01 14 20 316 13.0 16.7 99.00 99.00 99.00 999 1016.8  10.2 999.0   8.2 99.0 99.00 
2024 05 01 14 30 317 13.3 16.1 99.00 99.00 99.00 999 1016.9  10.2 999.0   8.2 99.0 99.00 
2024 05 01 14 40 316 13.0 17.0  2.92 10.81  6.34 312 1016.9  10.1 999.0   8.3 99.0 99.00 
2024 05 01 14 50 317 12.7 16.5 99.00 99.00 99.00 999 1016.9  10.1 999.0   8.3 99.0 99.00 
2024 05 01 15 00 319 12.1 14.7 99.00 99.00 99.00 999 1016.9  10.1 999.0   8.3 99.0 99.00 
2024 05 01 15 10 319 12.9 15.4  2.96 10.81  6.20 314 1017.0  10.1 999.0   8.3 99.0 99.00 
2024 05 01 15 20 320 12.9 15.5 99.00 99.00 99.00 999 1017.1  10.2 999.0   8.4 99.0 99.00 
2024 05 01 15 30 318 12.7 15.4 99.00 99.00 99.00 999 1017.1  10.1 999.0   8.3 99.0 99.00 
2024 05 01 15 40 317 13.0 16.2  3.01 11.43  6.34 311 1017.0  10.2 999.0   8.2 99.0 99.00 
2024 05 01 15 50 317 12.6 15.8 99.00 99.00 99.00 999 1017.0  10.2 999.0   8.3 99.0 99.00 
2024 05 01 16 00 314 12.9 16.3 99.00 99.00 99.00 999 1016.9  10.2 999.0   8.3 99.0 99.00 
2024 05 01 16 10 313 13.1 17.6  3.01 10.81  6.42 307 1017.0  10.2 999.0   8.3 99.0 99.00 
2024 05 01 16 20 312 13.1 16.0 99.00 99.00 99.00 999 1017.2  10.2 999.0   8.4 99.0 99.00 
2024 05 01 16 30 311 13.3 16.0 99.00 99.00 99.00 999 1017.2  10.3 999.0   8.3 99.0 99.00 
2024 05 01 16 40 314 12.8 15.9  3.07  9.09  6.57 314 1017.3  10.3 999.0   8.4 99.0 99.00 
2024 05 01 16 50 313 13.0 16.5 99.00 99.00 99.00 999 1017.2  10.3 999.0   8.2 99.0 99.00 
2024 05 01 17 00 316 12.8 16.4 99.00 99.00 99.00 999 1017.4  10.4 999.0   8.2 99.0 99.00 
2024 05 01 17 10 317 12.5 16.0  3.20 10.00  6.71 314 1017.4  10.4 999.0   8.1 99.0 99.00 
2024 05 01 17 20 317 12.6 15.4 99.00 99.00 99.00 999 1017.4  10.5 999.0   8.1 99.0 99.00 
2024 05 01 17 30 318 12.4 15.4 99.00 99.00 99.00 999 1017.5  10.5 999.0   8.1 99.0 99.00 
2024 05 01 17 40 318 12.4 15.6  2.92  9.09  6.36 311 1017.5  10.6 999.0   8.2 99.0 99.00 
2024 05 01 17 50 318 12.2 15.0 99.00 99.00 99.00 999 1017.5  10.5 999.0   8.1 99.0 99.00 
