#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2024 06 01 18 40 305 14.9 18.1  2.69  8.33  5.72 314 1013.0  10.9 999.0  10.2 99.0 99.00 
2024 06 01 18 50 304 14.2 17.5 99.00 99.00 99.00 999 1013.1  10.9 999.0  10.3 99.0 99.00 
2024 06 01 19 00 304 14.4 18.0 99.00 99.00 99.00 999 1013.1  10.9 999.0  10.2 99.0 99.00 
2024 06 01 19 10 304 14.5 18.5  2.62  7.69  5.64 319 1013.2  10.9 999.0  10.2 99.0 99.00 
2024 06 01 19 20 305 14.4 17.8 99.00 99.00 99.00 999 1013.3  10.9 999.0  10.2 99.0 99.00 
2024 06 01 19 30 305 14.5 18.0 99.00 99.00 99.00 999 1013.3  11.0 999.0  10.3 99.0 99.00 
2024 06 01 19 40 305 14.8 18.2  2.84  7.69  5.74 313 1013.4  11.0 999.0  10.3 99.0 99.00 
2024 06 01 19 50 304 14.6 19.3 99.00 99.00 99.00 999 1013.4  10.9 999.0  10.2 99.0 99.00 
2024 06 01 20 00 303 14.9 18.3 99.00 99.00 99.00 999 1013.5  10.9 999.0  10.2 99.0 99.00 
2024 06 01 20 10 304 14.5 18.3  2.85  7.14  5.83 322 1013.5  10.8 999.0  10.2 99.0 99.00 
2024 06 01 20 20 305 14.4 19.0 99.00 99.00 99.00 999 1013.7  10.8 999.0  10.3 99.0 99.00 
2024 06 01 20 30 310 13.3 17.2 99.00 99.00 99.00 999 1013.8  10.8 999.0  10.3 99.0 99.00 
2024 06 01 20 40 311 12.9 17.0  2.49  7.14  5.41 320 1013.8  10.8 999.0  10.3 99.0 99.00 
2024 06 01 20 50 311 13.1 15.9 99.00 99.00 99.00 999 1013.7  10.8 999.0  10.3 99.0 99.00 
2024 06 01 21 00 310 13.1 16.7 99.00 99.00 99.00 999 1013.6  10.7 999.0  10.2 99.0 99.00 
2024 06 01 21 10 309 13.4 17.2  2.69  7.69  5.66 319 1013.5  10.7 999.0  10.2 99.0 99.00 
2024 06 01 21 20 310 13.7 17.5 99.00 99.00 99.00 999 1013.6  10.7 999.0  10.2 99.0 99.00 
2024 06 01 21 30 312 14.5 18.9 99.00 99.00 99.00 999 1013.5  10.8 999.0  10.3 99.0 99.00 
