#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2024 07 20 16 30 320 12.0 16.0    MM    MM    MM  MM 1014.0  12.3    MM  12.1   MM   MM    MM
2024 07 20 16 20 310 13.0 16.0   2.7     8   6.0 315 1014.0  12.3    MM  12.1   MM   MM    MM
2024 07 20 16 10 320 12.0 15.0   2.7    MM   6.0 315 1013.9  12.3    MM  12.0   MM   MM    MM
2024 07 20 16 00 320 12.0 15.0    MM    MM    MM  MM 1013.9  12.4    MM  12.0   MM +2.1    MM
2024 07 20 15 50 320 12.0 15.0   2.6     8   5.8 304 1013.8  12.5    MM  12.1   MM   MM    MM
2024 07 20 15 40 320 12.0 15.0    MM    MM    MM  MM 1013.8  12.5    MM  12.1   MM   MM    MM
2024 07 20 15 30 320 12.0 15.0    MM    MM    MM  MM 1013.8  12.5    MM  12.0   MM   MM    MM
2024 07 20 15 20 320 12.0 15.0   2.6     8   5.9 304 1013.7  12.5    MM  12.0   MM   MM    MM
2024 07 20 15 10 320 12.0 15.0   2.6    MM   5.9 304 1013.6  12.6    MM  12.1   MM   MM    MM
2024 07 20 15 00 320 12.0 15.0    MM    MM    MM  MM 1013.6  12.5    MM  12.0   MM +1.8    MM
2024 07 20 14 50 320 12.0 14.0   2.6     8   5.7 302 1013.5  12.5    MM  12.0   MM   MM    MM
2024 07 20 14 40 320 12.0 15.0   2.6    MM   5.7 302 1013.2  12.5    MM  12.0   MM   MM    MM
2024 07 20 14 30 320 12.0 15.0    MM    MM    MM  MM 1013.2  12.5    MM  12.0   MM   MM    MM
2024 07 20 14 20 320 12.0 15.0   2.7     8   5.8 308 1013.0  12.5    MM  12.0   MM   MM    MM
2024 07 20 14 10 320 12.0 15.0   2.7    MM   5.8 308 1012.9  12.6    MM  12.1   MM   MM    MM
2024 07 20 14 00 320 12.0 15.0    MM    MM    MM  MM 1012.7  12.6    MM  12.1   MM +0.9    MM
2024 07 20 13 50 320 13.0 16.0   2.6     8   5.8 303 1012.6  12.7    MM  12.1   MM   MM    MM
2024 07 20 13 40 320 12.0 15.0   2.6    MM   5.8 303 1012.5  12.6    MM  12.1   MM   MM    MM
2024 07 20 13 30 320 12.0 15.0    MM    MM    MM  MM 1012.4  12.6    MM  12.1   MM   MM    MM
2024 07 20 13 20 320 12.0 15.0   2.6     8   5.8 305 1012.3  12.7    MM  12.1   MM   MM    MM
2024 07 20 13 10 320 12.0 16.0   2.6    MM   5.8 305 1012.3  12.7    MM  12.0   MM   MM    MM
2024 07 20 13 00 320 12.0 15.0    MM    MM    MM  MM 1012.2  12.7    MM  12.1   MM +0.3    MM
2024 07 20 12 50 320 12.0 16.0   2.5     7   5.7 311 1012.0  12.7    MM  12.1   MM   MM    MM
2024 07 20 12 40 320 13.0 16.0   2.5    MM   5.7 311 1011.9  12.7    MM  12.0   MM   MM    MM
2024 07 20 12 30 320 13.0 15.0    MM    MM    MM  MM 1011.9  12.7    MM  12.0   MM   MM    MM
2024 07 20 12 20 320 13.0 16.0   2.4     7   5.7 301 1011.9  12.8    MM  12.2   MM   MM    MM
2024 07 20 12 10 320 13.0 16.0   2.4    MM   5.7 301 1011.9  12.8    MM  12.2   MM   MM    MM
