#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2024 04 02 00 40 254  3.2  4.4  1.75  8.33  7.41 314 1018.8  13.5 999.0  12.3 99.0 99.00 
2024 04 02 00 50 255  2.8  3.9 99.00 99.00 99.00 999 1018.9  13.5 999.0  12.3 99.0 99.00 
2024 04 02 01 00 254  2.9  3.9 99.00 99.00 99.00 999 1019.1  13.5 999.0  12.3 99.0 99.00 
2024 04 02 01 10 247  2.9  3.8  1.67  9.09  7.28 315 1019.3  13.5 999.0  12.4 99.0 99.00 
2024 04 02 01 20 255  2.9  3.9 99.00 99.00 99.00 999 1019.3  13.5 999.0  12.4 99.0 99.00 
2024 04 02 01 30 256  2.9  4.2 99.00 99.00 99.00 999 1019.4  13.4 999.0  12.3 99.0 99.00 
2024 04 02 01 40 258  2.9  3.9  1.65  9.09  7.16 312 1019.4  13.4 999.0  12.3 99.0 99.00 
2024 04 02 01 50 270  2.9  4.3 99.00 99.00 99.00 999 1019.5  13.4 999.0  12.3 99.0 99.00 
2024 04 02 02 00 268  2.7  3.8 99.00 99.00 99.00 999 1019.5  13.3 999.0  12.2 99.0 99.00 
2024 04 02 02 10 271  2.4  3.6  1.74 12.12  7.20 274 1019.6  13.2 999.0  12.1 99.0 99.00 
2024 04 02 02 20 275  2.9  4.3 99.00 99.00 99.00 999 1019.7  13.1 999.0  12.1 99.0 99.00 
2024 04 02 02 30 277  2.8  4.4 99.00 99.00 99.00 999 1019.7  13.0 999.0  12.1 99.0 99.00 
2024 04 02 02 40 278  2.7  3.9  1.62  9.09  7.01 307 1019.8  12.9 999.0  12.1 99.0 99.00 
2024 04 02 02 50 284  2.6  3.8 99.00 99.00 99.00 999 1019.8  12.8 999.0  12.0 99.0 99.00 
2024 04 02 03 00 289  3.0  4.5 99.00 99.00 99.00 999 1020.0  12.8 999.0  12.0 99.0 99.00 
2024 04 02 03 10 281  3.0  4.1  1.79  8.33  7.30 303 1020.2  12.7 999.0  11.9 99.0 99.00 
2024 04 02 03 20 279  3.0  4.2 99.00 99.00 99.00 999 1020.2  12.7 999.0  11.9 99.0 99.00 
2024 04 02 03 30 284  3.2  4.2 99.00 99.00 99.00 999 1020.5  12.6 999.0  11.8 99.0 99.00 
2024 04 02 03 40 288  3.2  4.4  1.58 10.81  6.93 292 1020.5  12.6 999.0  11.8 99.0 99.00 
2024 04 02 03 50 291  3.6  4.7 99.00 99.00 99.00 999 1020.6  12.6 999.0  11.9 99.0 99.00 
2024 04 02 04 00 290  3.9  5.6 99.00 99.00 99.00 999 1020.7  12.6 999.0  11.9 99.0 99.00 
2024 04 02 04 10 291  3.7  5.0  1.69 10.81  6.97 285 1020.8  12.6 999.0  11.9 99.0 99.00 
2024 04 02 04 20 286  3.6  4.9 99.00 99.00 99.00 999 1021.0  12.6 999.0  11.9 99.0 99.00 
