#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2024 03 01 12 20 212  6.9  8.8 99.00 99.00 99.00 999 1012.8  12.0 999.0   9.4 99.0 99.00 
2024 03 01 12 30 210  6.4  8.7 99.00 99.00 99.00 999 1012.9  12.0 999.0   9.6 99.0 99.00 
2024 03 01 12 40 211  6.6  8.6  4.13 12.90  8.58 306 1013.1  11.9 999.0  10.0 99.0 99.00 
2024 03 01 12 50 225  7.4 10.8 99.00 99.00 99.00 999 1012.9  11.3 999.0  10.2 99.0 99.00 
2024 03 01 13 00 219  8.5 10.5 99.00 99.00 99.00 999 1012.8  11.1 999.0   9.9 99.0 99.00 
2024 03 01 13 10 217  7.7  9.4  3.90 11.43  8.41 298 1012.8  11.4 999.0  10.0 99.0 99.00 
2024 03 01 13 20 217  7.8  9.5 99.00 99.00 99.00 999 1012.7  11.7 999.0  10.1 99.0 99.00 
2024 03 01 13 30 213  8.8 11.5 99.00 99.00 99.00 999 1012.7  11.7 999.0  10.0 99.0 99.00 
2024 03 01 13 40 218  8.6 11.1  3.68 12.12  8.17 289 1012.6  11.6 999.0  10.0 99.0 99.00 
2024 03 01 13 50 225  8.1 11.3 99.00 99.00 99.00 999 1012.6  11.8 999.0   9.9 99.0 99.00 
2024 03 01 14 00 225  8.5 10.4 99.00 99.00 99.00 999 1012.6  12.0 999.0  10.0 99.0 99.00 
2024 03 01 14 10 215  8.9 11.8  3.36 12.12  8.03 288 1012.6  11.8 999.0  10.0 99.0 99.00 
2024 03 01 14 20 215  8.3 11.0 99.00 99.00 99.00 999 1012.5  12.0 999.0  10.2 99.0 99.00 
2024 03 01 14 30 213  9.2 11.6 99.00 99.00 99.00 999 1012.5  12.1 999.0  10.1 99.0 99.00 
2024 03 01 14 40 220  8.8 10.7  3.49 12.90  7.71 301 1012.5  12.2 999.0  10.1 99.0 99.00 
2024 03 01 14 50 210  9.0 12.0 99.00 99.00 99.00 999 1012.5  12.1 999.0  10.4 99.0 99.00 
2024 03 01 15 00 216  8.3 10.7 99.00 99.00 99.00 999 1012.3  12.1 999.0  10.1 99.0 99.00 
2024 03 01 15 10 214  8.1 10.4  3.64 12.90  8.10 291 1012.4  12.3 999.0  10.1 99.0 99.00 
2024 03 01 15 20 221  9.0 11.1 99.00 99.00 99.00 999 1012.4  12.4 999.0   9.5 99.0 99.00 
2024 03 01 15 30 223  9.0 11.5 99.00 99.00 99.00 999 1012.4  12.5 999.0   9.3 99.0 99.00 
2024 03 01 15 40 222  8.7 10.8  3.42 12.12  7.96 288 1012.6  12.6 999.0   9.5 99.0 99.00 
2024 03 01 15 50 222  9.0 11.4 99.00 99.00 99.00 999 1012.6  12.5 999.0   9.3 99.0 99.00 
2024 03 01 16 00 222  8.9 11.1 99.00 99.00 99.00 999 1012.6  12.5 999.0   9.5 99.0 99.00 
2024 03 01 16 10 222  8.9 11.0  3.56 12.12  7.82 305 1012.6  12.5 999.0   9.3 99.0 99.00 
2024 03 01 16 20 224  8.5 10.5 99.00 99.00 99.00 999 1012.7  12.6 999.0   9.4 99.0 99.00 
2024 03 01 16 30 221  8.7 10.8 99.00 99.00 99.00 999 1012.7  12.5 999.0   9.4 99.0 99.00 
2024 03 01 16 40 225  8.1 10.3  3.50 11.43  7.81 305 1012.7  12.6 999.0   9.6 99.0 99.00 
2024 03 01 16 50 215  8.0  9.8 99.00 99.00 99.00 999 1012.7  12.5 999.0   9.8 99.0 99.00 
2024 03 01 17 00 215  7.9  9.8 99.00 99.00 99.00 999 1012.7  12.4 999.0   9.9 99.0 99.00 
2024 03 01 17 10 224  6.9  9.4  3.88 12.90  8.61 288 1012.7  12.1 999.0   9.9 99.0 99.00 
2024 03 01 17 20 240  5.8 10.3 99.00 99.00 99.00 999 1012.6  11.1 999.0   9.2 99.0 99.00 
2024 03 01 17 30 209  8.9 11.0 99.00 99.00 99.00 999 1012.5  11.9 999.0   9.6 99.0 99.00 
2024 03 01 17 40 199  9.3 12.0  3.84 12.12  8.38 296 1012.6  12.0 999.0  10.2 99.0 99.00 
2024 03 01 17 50 204  8.4 11.5 99.00 99.00 99.00 999 1012.5  12.0 999.0  10.3 99.0 99.00 
2024 03 01 18 00 213  8.0  9.6 99.00 99.00 99.00 999 1012.5  12.0 999.0   9.6 99.0 99.00 
2024 03 01 18 10 214  8.0 10.0  3.85 13.79  8.55 292 1012.5  12.2 999.0   9.2 99.0 99.00 
2024 03 01 18 20 210  8.0  9.9 99.00 99.00 99.00 999 1012.4  12.2 999.0   9.0 99.0 99.00 
2024 03 01 18 30 202  8.1 10.2 99.00 99.00 99.00 999 1012.4  12.4 999.0   9.7 99.0 99.00 
2024 03 01 18 40 198  7.7  9.7  3.53 12.90  8.08 298 1012.3  12.4 999.0  10.1 99.0 99.00 
2024 03 01 18 50 205  8.7 11.3 99.00 99.00 99.00 999 1012.1  12.6 999.0  10.1 99.0 99.00 
2024 03 01 19 00 208 10.3 14.1 99.00 99.00 99.00 999 1011.9  12.8 999.0  10.2 99.0 99.00 
2024 03 01 19 10 207  9.8 12.2  3.71 12.90  8.46 298 1011.7  12.8 999.0  10.0 99.0 99.00 
2024 03 01 19 20 201  9.3 12.1 99.00 99.00 99.00 999 1011.6  12.9 999.0  10.2 99.0 99.00 
2024 03 01 19 30 201  9.6 11.9 99.00 99.00 99.00 999 1011.6  12.9 999.0  10.1 99.0 99.00 
2024 03 01 19 40 199  9.1 11.8  3.49 11.43  7.73 289 1011.4  12.9 999.0  10.7 99.0 99.00 
2024 03 01 19 50 201 10.4 12.9 99.00 99.00 99.00 999 1011.4  12.8 999.0  10.4 99.0 99.00 
2024 03 01 20 00 203 10.5 14.6 99.00 99.00 99.00 999 1011.4  12.7 999.0  10.4 99.0 99.00 
2024 03 01 20 10 199 11.2 14.9  4.10 13.79  8.34 301 1011.2  11.4 999.0   9.9 99.0 99.00 
2024 03 01 20 20 200  9.4 12.3 99.00 99.00 99.00 999 1011.2  10.8 999.0   9.5 99.0 99.00 
2024 03 01 20 30 203  8.3 11.1 99.00 99.00 99.00 999 1010.9  10.7 999.0   9.7 99.0 99.00 
2024 03 01 20 40 208  9.0 11.6  4.07 12.90  8.57 296 1010.7  10.8 999.0   9.9 99.0 99.00 
2024 03 01 20 50 213  8.8 13.3 99.00 99.00 99.00 999 1010.3  11.1 999.0  10.3 99.0 99.00 
2024 03 01 21 00 205 11.5 15.1 99.00 99.00 99.00 999 1010.0  11.9 999.0  10.5 99.0 99.00 
2024 03 01 21 10 203 12.1 14.9  3.98 13.79  8.32 288 1010.0  11.7 999.0  10.0 99.0 99.00 
2024 03 01 21 20 204 10.7 14.1 99.00 99.00 99.00 999 1009.9  10.9 999.0   9.5 99.0 99.00 
2024 03 01 21 30 201  8.7 11.0 99.00 99.00 99.00 999 1009.7  10.8 999.0   9.5 99.0 99.00 
