,pred_res_0,pred_res_1,pred_res_2,pred_res_3,pred_res_4,pred_res_5,pred_res_6,pred_res_7,pred_res_8,pred_res_9
2023-01-17 15:00:00+00:00,0.05427914733467043,-0.03649626775348748,0.11604264891367896,-0.009768420329150096,-0.08100159329835036,0.050709910039473796,0.014582967759505933,0.09836607965760216,0.20019871287653912,-0.02505838081562478
2023-01-17 16:00:00+00:00,0.04051509632995062,-0.04183489741094128,0.11427414800780156,-0.020386920602148362,-0.08068642333597617,0.046117241840786485,0.010717721814554076,0.09601453979000482,0.20108451218336676,-0.031029426551490547
2023-01-17 17:00:00+00:00,0.033450487873586676,-0.05523229316645152,0.1313953791326218,-0.045161611887400865,-0.0788767356071576,0.04389925820105216,0.0037411249252540524,0.09889978014542297,0.22345706006537702,-0.02839934767719321
2023-01-17 18:00:00+00:00,0.03267028237727382,-0.06080785170834592,0.13296358409200373,-0.05599045546065928,-0.0788895082443061,0.041860630229403076,-0.0009639076603486785,0.10011869299776258,0.2259193322558768,-0.03090833912252519
2023-01-17 19:00:00+00:00,0.020797712253853073,-0.057372011422900285,0.11497397820856411,-0.05542265734751034,-0.08025994019372651,0.033197697550401764,-0.0020461138130841994,0.08483517438000845,0.20474134055176985,-0.03779915042738197
2023-01-17 20:00:00+00:00,0.010521026530686955,-0.04774407698067078,0.08143042863305525,-0.041549436330398315,-0.08322347441717906,0.022083952317697927,0.00017831524756797834,0.07044716398637771,0.15757184133928115,-0.06060699088648153
2023-01-17 21:00:00+00:00,0.015348225344059607,-0.03911646915030166,0.04046797753351106,-0.02135456375269118,-0.08735109749644124,0.015934720520739284,-0.0001641780891223632,0.052482451569028116,0.0952957148479363,-0.0722871149454139
2023-01-17 22:00:00+00:00,0.015355671110108965,-0.03587063310753148,0.017836401011263908,-0.008439639615482719,-0.09140513187248397,0.00873140558288886,-0.0010186678633388457,0.03307906817957049,0.05523159678420218,-0.07795358364540775
2023-01-17 23:00:00+00:00,0.005395688529135023,-0.03845911990485472,0.012009120539599571,-0.009884527102145602,-0.09253070814752648,0.0017485038130278102,-0.0027347989788079896,0.02682175773983214,0.04308235590248076,-0.08210700723771222
2023-01-18 00:00:00+00:00,0.00029674777808302855,-0.04064765851386286,0.006770178169702434,-0.00883526916524835,-0.09398205406341023,-0.004702897778370976,-0.0029085838301291245,0.0207133647361937,0.03005510421671008,-0.08424393387917076
2023-01-18 01:00:00+00:00,0.006058475937143648,-0.04380914501329071,0.0018737475215438726,-0.005921111649726862,-0.09620125705838123,-0.00960659878275473,-0.0019476246910330175,0.010771083670392617,0.011178462935928321,-0.08165439517154396
2023-01-18 02:00:00+00:00,0.00948185818081837,-0.04564146025593731,-0.0007312342913827485,-0.00553147112472574,-0.09589436039535978,-0.007606165919978827,-0.0016192325579920397,0.004037935367382062,0.0022349108752980212,-0.0792756099508356
2023-01-18 03:00:00+00:00,0.001804352947228055,-0.04714580437348777,-0.00572236639683138,-0.00535364437068675,-0.09439432026102354,-0.008997907347325987,-0.002872257840124931,-0.0018867244217702084,-0.006228725970492191,-0.07993320899754697
2023-01-18 04:00:00+00:00,-0.00684715884064338,-0.04792302317176125,-0.01017421709387617,-0.006969280070705797,-0.09219130685241744,-0.012659945302190875,-0.005179175899329674,-0.00841705820903238,-0.013298040583421614,-0.08087678643716578
2023-01-18 05:00:00+00:00,-0.008436453830853535,-0.04925859976840924,-0.01395438554179082,-0.007224927990063301,-0.09107909127392208,-0.01630596725720941,-0.006065959862921716,-0.013187369174162217,-0.016504986632917898,-0.0806881919597155
2023-01-18 06:00:00+00:00,-0.015423381553170384,-0.05029453007529393,-0.021011372488221908,-0.010581078815298295,-0.0903621108357659,-0.022619444127101387,-0.010177183830773123,-0.018098215762913428,-0.01966374411926909,-0.0810959360622783
2023-01-18 07:00:00+00:00,-0.026790935376322128,-0.05152065772014555,-0.02876581673504841,-0.013864104985600867,-0.09031548562571293,-0.031019348307315855,-0.01620395862052801,-0.02260511118535205,-0.021554113119533216,-0.08471266232136943
2023-01-18 08:00:00+00:00,-0.04168526562448033,-0.05254954505799532,-0.03727443010972836,-0.017299109050470107,-0.09058983179178778,-0.04075411110387754,-0.023555099947300845,-0.028138735002558674,-0.023721296183054866,-0.09119171474992024
2023-01-18 09:00:00+00:00,-0.06107019757756563,-0.05252699183462756,-0.04754422174503292,-0.02208450709567561,-0.08846604931608576,-0.055305892355801675,-0.03452580763808341,-0.03354319492076108,-0.025765400431494737,-0.10171660901826968
2023-01-18 10:00:00+00:00,-0.06871857586799193,-0.052444007686540034,-0.053971538062280666,-0.025416811391738903,-0.08635882488493624,-0.06617951491635093,-0.044776678907541195,-0.039054667493400946,-0.02647159815153817,-0.11030014962121143
2023-01-18 11:00:00+00:00,-0.07358489849707858,-0.05303360929432453,-0.06013602496462714,-0.027658986986804857,-0.08569975113205283,-0.07415400743444492,-0.053070983803080424,-0.04571587893535431,-0.028297481995390908,-0.11621808226936295
2023-01-18 12:00:00+00:00,-0.07871149959576554,-0.052073915863834724,-0.06349220489249763,-0.02845430909745522,-0.08472001293727865,-0.07096196876023164,-0.0631385586648657,-0.04888943062615461,-0.026741711333205312,-0.12018700120552123
2023-01-18 13:00:00+00:00,-0.08113426108164393,-0.05084356685340857,-0.0613218769784718,-0.028166655762295267,-0.08472192211884963,-0.06821774927439431,-0.07039718069293063,-0.05049647210369179,-0.024214732955379806,-0.11991798669975726
2023-01-18 14:00:00+00:00,-0.08062984818518987,-0.04918062401449641,-0.06123889200314819,-0.02700140968826481,-0.08506107383652811,-0.06542286561671817,-0.07082994996413577,-0.05133252524988435,-0.020244506699257328,-0.11537761638708521
2023-01-18 15:00:00+00:00,-0.07961769744534,-0.04635177766309777,-0.06109988913108741,-0.023404273209341908,-0.08474676413377538,-0.06157967615510689,-0.06903945731440558,-0.051490133879988326,-0.01587383431401347,-0.10746678667404894
2023-01-18 16:00:00+00:00,-0.07689565848087437,-0.04234445113732466,-0.05798017417438869,-0.01854659985494539,-0.08444511526316559,-0.057640372843767954,-0.06296267214382076,-0.049835457493778074,-0.010059807744578667,-0.09657289548262207
2023-01-18 17:00:00+00:00,-0.07183299306856897,-0.03625806972802835,-0.04809596856829937,-0.012903823708194928,-0.08347447204339975,-0.05278646317516207,-0.05044601768585047,-0.0461125786785235,-0.003267364309404233,-0.0774569034263016
2023-01-18 18:00:00+00:00,-0.06356589839394342,-0.02958877568287653,-0.03700466884922307,-0.001907518790210283,-0.0797004332297939,-0.047500470239845036,-0.03702850872033739,-0.03950241050794914,0.004432027238181743,-0.057677114819313646
2023-01-18 19:00:00+00:00,-0.052719187208061125,-0.02316062852383176,-0.02606269460592356,0.008283870988400055,-0.07306521284201378,-0.0427769081939572,-0.024558268365019315,-0.03124923821727718,0.008470028640057622,-0.03720698938283429
2023-01-18 20:00:00+00:00,-0.03787639309995311,-0.016632050697896125,-0.012375550330654711,0.020427494915603472,-0.060653314588501955,-0.03414830045128682,-0.008925199495239927,-0.016677882477561412,0.012966961070151536,-0.01086958095155896
2023-01-18 21:00:00+00:00,-0.01935454346364021,-0.0043394475297324625,-0.00010825808963263461,0.0339464186261092,-0.0471046674997849,-0.02155804596778478,0.00826458093917995,0.001236496510836127,0.023326559789450682,0.0023589073722364295
