,pred_res_0,pred_res_1,pred_res_2,pred_res_3,pred_res_4,pred_res_5,pred_res_6,pred_res_7,pred_res_8,pred_res_9,pred_res_mean,std_dev
2022-11-14 21:00:00+00:00,-0.17026266,-0.17280546,-0.17190948,-0.1614303,-0.17201248,-0.19363922,-0.17128286,-0.17295557,-0.16680783,-0.18629158,-0.17393976,0.009301486
2022-11-14 22:00:00+00:00,-0.16679552,-0.17118582,-0.17094383,-0.16007927,-0.17144772,-0.18905255,-0.17045641,-0.17134985,-0.16556132,-0.18591738,-0.17227897,0.008814385
2022-11-14 23:00:00+00:00,-0.16700941,-0.16975865,-0.17023987,-0.15922254,-0.17101651,-0.18428412,-0.16969386,-0.17070007,-0.16465592,-0.18548068,-0.17120616,0.008059009
2022-11-15 00:00:00+00:00,-0.16792229,-0.16860563,-0.16962528,-0.15842834,-0.17064312,-0.17932212,-0.16928896,-0.17063752,-0.16364855,-0.18456337,-0.1702685,0.0073048244
2022-11-15 01:00:00+00:00,-0.17075688,-0.1677016,-0.16902345,-0.15800682,-0.17049232,-0.175021,-0.16883829,-0.1711461,-0.16275498,-0.18385747,-0.1697599,0.006853261
2022-11-15 02:00:00+00:00,-0.17183086,-0.16705924,-0.16826311,-0.15768135,-0.17047566,-0.1715433,-0.16827908,-0.17132664,-0.16190574,-0.1830141,-0.16913791,0.00667955
2022-11-15 03:00:00+00:00,-0.17408061,-0.16710553,-0.16825366,-0.15852848,-0.17100066,-0.16958109,-0.16901869,-0.17279002,-0.16233733,-0.18243802,-0.1695134,0.0065034344
2022-11-15 04:00:00+00:00,-0.17564663,-0.16795963,-0.16918302,-0.16017574,-0.17201874,-0.16936684,-0.17026424,-0.17465192,-0.1635305,-0.18192542,-0.17047226,0.0061577153
2022-11-15 05:00:00+00:00,-0.1759913,-0.16927293,-0.1705721,-0.16243488,-0.17325345,-0.17007896,-0.17160663,-0.17731923,-0.16545892,-0.18188289,-0.17178714,0.0056824526
2022-11-15 06:00:00+00:00,-0.1766583,-0.17111358,-0.17266944,-0.16528606,-0.17488873,-0.17175272,-0.1739676,-0.18031293,-0.16782981,-0.18237633,-0.17368555,0.0052285604
2022-11-15 07:00:00+00:00,-0.17787549,-0.17337814,-0.1753372,-0.16870382,-0.17671302,-0.17375377,-0.17672873,-0.18328536,-0.17143023,-0.18348056,-0.17606862,0.0047142925
2022-11-15 08:00:00+00:00,-0.1794998,-0.17596099,-0.17830187,-0.17243794,-0.17870125,-0.17602581,-0.17947194,-0.18524715,-0.17504779,-0.1848132,-0.17855076,0.0040635704
2022-11-15 09:00:00+00:00,-0.18106934,-0.17840931,-0.18095735,-0.175895,-0.18049529,-0.17791274,-0.18170941,-0.18674538,-0.17884657,-0.1862706,-0.1808311,0.0034674508
2022-11-15 10:00:00+00:00,-0.18265057,-0.18029752,-0.1830571,-0.17876157,-0.18198779,-0.17920479,-0.18282473,-0.18803507,-0.18214518,-0.1876657,-0.182663,0.0031192533
2022-11-15 11:00:00+00:00,-0.18448576,-0.18190762,-0.18482909,-0.18138024,-0.18319571,-0.18024671,-0.18316582,-0.18926421,-0.18453506,-0.18900731,-0.18420175,0.0029862416
2022-11-15 12:00:00+00:00,-0.18684837,-0.1835495,-0.18684095,-0.18424356,-0.18436176,-0.18159509,-0.18369207,-0.19099924,-0.18678138,-0.19078496,-0.1859697,0.0030987498
2022-11-15 13:00:00+00:00,-0.18973914,-0.1853028,-0.18896455,-0.18712229,-0.1854856,-0.18358514,-0.18462825,-0.19311598,-0.1890043,-0.19284713,-0.1879795,0.0033309083
2022-11-15 14:00:00+00:00,-0.19316015,-0.18746239,-0.19100207,-0.19041589,-0.18744612,-0.1864793,-0.18640128,-0.19567648,-0.19164807,-0.19525674,-0.19049485,0.0034895819
2022-11-15 15:00:00+00:00,-0.19631574,-0.18939859,-0.19232535,-0.19262385,-0.18979505,-0.18977821,-0.18725923,-0.19758457,-0.19381535,-0.19717753,-0.19260733,0.0035864266
2022-11-15 16:00:00+00:00,-0.19915348,-0.19102868,-0.19335055,-0.19407606,-0.19122207,-0.1930427,-0.18708295,-0.1993038,-0.19510919,-0.19872358,-0.1942093,0.003993445
2022-11-15 17:00:00+00:00,-0.20149368,-0.19219744,-0.19395325,-0.19473565,-0.1916078,-0.19596237,-0.18566018,-0.20081565,-0.19559878,-0.19972154,-0.19517465,0.00479608
2022-11-15 18:00:00+00:00,-0.20369491,-0.19283447,-0.19427416,-0.1947335,-0.19123149,-0.19894665,-0.18387353,-0.20201334,-0.19499862,-0.20051664,-0.19571173,0.005859651
2022-11-15 19:00:00+00:00,-0.20607391,-0.19342223,-0.1945357,-0.19453159,-0.1908552,-0.2027309,-0.18268064,-0.20335147,-0.19414124,-0.20147589,-0.19637987,0.007052577
2022-11-15 20:00:00+00:00,-0.2083484,-0.19404054,-0.19445461,-0.19414347,-0.19039106,-0.20719862,-0.18236035,-0.20465058,-0.19307137,-0.20243531,-0.19710943,0.008283726
2022-11-15 21:00:00+00:00,-0.21028247,-0.19451323,-0.19413143,-0.1933069,-0.18980265,-0.21173826,-0.18223104,-0.20574757,-0.19194457,-0.20340264,-0.19771008,0.009601188
2022-11-15 22:00:00+00:00,-0.21249187,-0.19549295,-0.1945304,-0.1932354,-0.19006172,-0.21658441,-0.18361804,-0.20737737,-0.19180226,-0.20512629,-0.19903207,0.010712175
2022-11-15 23:00:00+00:00,-0.2144205,-0.1964114,-0.19462293,-0.19263473,-0.19014952,-0.22119692,-0.1844374,-0.20851937,-0.19184807,-0.20689562,-0.20011362,0.011920938
2022-11-16 00:00:00+00:00,-0.21595985,-0.19721255,-0.19442606,-0.1916433,-0.19015181,-0.225025,-0.18500513,-0.2089453,-0.19155869,-0.20852214,-0.20084497,0.01303088
2022-11-16 01:00:00+00:00,-0.21729085,-0.19760153,-0.19388682,-0.19037151,-0.18969268,-0.22815415,-0.18560478,-0.20886356,-0.19090754,-0.21012801,-0.20125015,0.014099282
2022-11-16 02:00:00+00:00,-0.21853307,-0.19781053,-0.19312254,-0.18880996,-0.19045734,-0.23055008,-0.1862483,-0.20837763,-0.1901342,-0.21177143,-0.20158151,0.014964171
