STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
NAP,H,20,FLOW,20230308 0500,20230308 0500,595, ,CFS
NAP,H,20,FLOW,20230308 0600,20230308 0600,608, ,CFS
NAP,H,20,FLOW,20230308 0700,20230308 0700,621, ,CFS
NAP,H,20,FLOW,20230308 0800,20230308 0800,644, ,CFS
NAP,H,20,FLOW,20230308 0900,20230308 0900,668, ,CFS
NAP,H,20,FLOW,20230308 1000,20230308 1000,691, ,CFS
NAP,H,20,FLOW,20230308 1100,20230308 1100,724, ,CFS
NAP,H,20,FLOW,20230308 1200,20230308 1200,752, ,CFS
NAP,H,20,FLOW,20230308 1300,20230308 1300,771, ,CFS
NAP,H,20,FLOW,20230308 1400,20230308 1400,774, ,CFS
NAP,H,20,FLOW,20230308 1500,20230308 1500,774, ,CFS
NAP,H,20,FLOW,20230308 1600,20230308 1600,763, ,CFS
NAP,H,20,FLOW,20230308 1700,20230308 1700,754, ,CFS
NAP,H,20,FLOW,20230308 1800,20230308 1800,740, ,CFS
NAP,H,20,FLOW,20230308 1900,20230308 1900,735, ,CFS
NAP,H,20,FLOW,20230308 2000,20230308 2000,721, ,CFS
NAP,H,20,FLOW,20230308 2100,20230308 2100,710, ,CFS
NAP,H,20,FLOW,20230308 2200,20230308 2200,697, ,CFS
NAP,H,20,FLOW,20230308 2300,20230308 2300,686, ,CFS
NAP,H,20,FLOW,20230309 0000,20230309 0000,678, ,CFS
NAP,H,20,FLOW,20230309 0100,20230309 0100,670, ,CFS
NAP,H,20,FLOW,20230309 0200,20230309 0200,662, ,CFS
NAP,H,20,FLOW,20230309 0300,20230309 0300,652, ,CFS
NAP,H,20,FLOW,20230309 0400,20230309 0400,647, ,CFS
NAP,H,20,FLOW,20230309 0500,20230309 0500,639, ,CFS
NAP,H,20,FLOW,20230309 0600,20230309 0600,634, ,CFS
NAP,H,20,FLOW,20230309 0700,20230309 0700,631, ,CFS
NAP,H,20,FLOW,20230309 0800,20230309 0800,618, ,CFS
NAP,H,20,FLOW,20230309 0900,20230309 0900,618, ,CFS
NAP,H,20,FLOW,20230309 1000,20230309 1000,616, ,CFS
NAP,H,20,FLOW,20230309 1100,20230309 1100,610, ,CFS
NAP,H,20,FLOW,20230309 1200,20230309 1200,610, ,CFS
NAP,H,20,FLOW,20230309 1300,20230309 1300,610, ,CFS
NAP,H,20,FLOW,20230309 1400,20230309 1400,613, ,CFS
NAP,H,20,FLOW,20230309 1500,20230309 1500,621, ,CFS
NAP,H,20,FLOW,20230309 1600,20230309 1600,647, ,CFS
NAP,H,20,FLOW,20230309 1700,20230309 1700,691, ,CFS
NAP,H,20,FLOW,20230309 1800,20230309 1800,805, ,CFS
NAP,H,20,FLOW,20230309 1900,20230309 1900,1086, ,CFS
NAP,H,20,FLOW,20230309 2000,20230309 2000,1559, ,CFS
NAP,H,20,FLOW,20230309 2100,20230309 2100,2175, ,CFS
NAP,H,20,FLOW,20230309 2200,20230309 2200,3041, ,CFS
NAP,H,20,FLOW,20230309 2300,20230309 2300,3826, ,CFS
NAP,H,20,FLOW,20230310 0000,20230310 0000,4471, ,CFS
NAP,H,20,FLOW,20230310 0100,20230310 0100,5173, ,CFS
NAP,H,20,FLOW,20230310 0200,20230310 0200,6149, ,CFS
NAP,H,20,FLOW,20230310 0300,20230310 0300,7373, ,CFS
NAP,H,20,FLOW,20230310 0400,20230310 0400,8529, ,CFS
NAP,H,20,FLOW,20230310 0500,20230310 0500,8858, ,CFS
NAP,H,20,FLOW,20230310 0600,20230310 0600,9221, ,CFS
NAP,H,20,FLOW,20230310 0700,20230310 0700,9634, ,CFS
NAP,H,20,FLOW,20230310 0800,20230310 0800,9839, ,CFS
NAP,H,20,FLOW,20230310 0900,20230310 0900,8909, ,CFS
NAP,H,20,FLOW,20230310 1000,20230310 1000,8768, ,CFS
NAP,H,20,FLOW,20230310 1100,20230310 1100,8541, ,CFS
NAP,H,20,FLOW,20230310 1200,20230310 1200,7823, ,CFS
NAP,H,20,FLOW,20230310 1300,20230310 1300,7279, ,CFS
NAP,H,20,FLOW,20230310 1400,20230310 1400,6120, ,CFS
NAP,H,20,FLOW,20230310 1500,20230310 1500,5455, ,CFS
NAP,H,20,FLOW,20230310 1600,20230310 1600,5010, ,CFS
NAP,H,20,FLOW,20230310 1700,20230310 1700,4699, ,CFS
NAP,H,20,FLOW,20230310 1800,20230310 1800,4504, ,CFS
NAP,H,20,FLOW,20230310 1900,20230310 1900,4370, ,CFS
NAP,H,20,FLOW,20230310 2000,20230310 2000,4177, ,CFS
NAP,H,20,FLOW,20230310 2100,20230310 2100,4004, ,CFS
NAP,H,20,FLOW,20230310 2200,20230310 2200,3911, ,CFS
NAP,H,20,FLOW,20230310 2300,20230310 2300,3754, ,CFS
NAP,H,20,FLOW,20230311 0000,20230311 0000,3645, ,CFS
NAP,H,20,FLOW,20230311 0100,20230311 0100,3533, ,CFS
NAP,H,20,FLOW,20230311 0200,20230311 0200,3472, ,CFS
NAP,H,20,FLOW,20230311 0300,20230311 0300,3340, ,CFS
NAP,H,20,FLOW,20230311 0400,20230311 0400,3184, ,CFS
NAP,H,20,FLOW,20230311 0500,20230311 0500,3057, ,CFS
NAP,H,20,FLOW,20230311 0600,20230311 0600,2991, ,CFS
NAP,H,20,FLOW,20230311 0700,20230311 0700,2877, ,CFS
NAP,H,20,FLOW,20230311 0800,20230311 0800,2770, ,CFS
NAP,H,20,FLOW,20230311 0900,20230311 0900,2688, ,CFS
NAP,H,20,FLOW,20230311 1000,20230311 1000,2673, ,CFS
NAP,H,20,FLOW,20230311 1100,20230311 1100,2537, ,CFS
NAP,H,20,FLOW,20230311 1200,20230311 1200,2458, ,CFS
NAP,H,20,FLOW,20230311 1300,20230311 1300,2449, ,CFS
NAP,H,20,FLOW,20230311 1400,20230311 1400,2439, ,CFS
NAP,H,20,FLOW,20230311 1500,20230311 1500,2394, ,CFS
NAP,H,20,FLOW,20230311 1600,20230311 1600,2398, ,CFS
NAP,H,20,FLOW,20230311 1700,20230311 1700,2385, ,CFS
