receive_time,data_time,data_value,raw_value,data_quality
2023-02-16 09:59:05,2023-02-16 09:58:59,3.09500000,2.04500000,A
2023-02-16 10:05:05,2023-02-16 10:04:59,3.10000000,2.05000000,A
2023-02-16 10:11:05,2023-02-16 10:10:59,3.20000000,2.15000000,A
2023-02-16 10:17:05,2023-02-16 10:16:59,3.28400000,2.23400000,A
2023-02-16 10:23:05,2023-02-16 10:22:59,3.35200000,2.30200000,A
2023-02-16 10:29:05,2023-02-16 10:28:59,3.34100000,2.29100000,A
2023-02-16 10:35:05,2023-02-16 10:34:59,3.44200000,2.39200000,A
2023-02-16 10:41:05,2023-02-16 10:40:59,3.48700000,2.43700000,A
2023-02-16 10:47:05,2023-02-16 10:46:59,3.51000000,2.46000000,A
2023-02-16 10:53:05,2023-02-16 10:52:59,3.47100000,2.42100000,A
