,pred_res_0,pred_res_1,pred_res_2,pred_res_3,pred_res_4
2022-11-16 15:00:00+00:00,-0.22709489,-0.2279076,-0.22187033,-0.21653709,-0.22919291
2022-11-16 16:00:00+00:00,-0.22828844,-0.22841763,-0.22408536,-0.21732587,-0.2305969
2022-11-16 17:00:00+00:00,-0.2284297,-0.22874078,-0.225368,-0.21713585,-0.23195392
2022-11-16 18:00:00+00:00,-0.22745028,-0.22883022,-0.22682798,-0.21566877,-0.23342162
2022-11-16 19:00:00+00:00,-0.22520453,-0.22909594,-0.22784114,-0.21315649,-0.23477036
2022-11-16 20:00:00+00:00,-0.22127938,-0.22877488,-0.22815984,-0.20966735,-0.23513114
2022-11-16 21:00:00+00:00,-0.21659803,-0.22674721,-0.2272051,-0.20554441,-0.23459715
2022-11-16 22:00:00+00:00,-0.21217021,-0.22574994,-0.22547442,-0.20187512,-0.23331052
2022-11-16 23:00:00+00:00,-0.20887312,-0.22524002,-0.22332722,-0.1993418,-0.23163074
2022-11-17 00:00:00+00:00,-0.20679507,-0.22498572,-0.22045651,-0.19784302,-0.22998887
2022-11-17 01:00:00+00:00,-0.20527402,-0.22352329,-0.21808544,-0.19682384,-0.22884011
2022-11-17 02:00:00+00:00,-0.20521161,-0.22283912,-0.21672851,-0.19681269,-0.22851238
2022-11-17 03:00:00+00:00,-0.20543662,-0.22305667,-0.21581966,-0.19737095,-0.22856793
2022-11-17 04:00:00+00:00,-0.20586067,-0.22369376,-0.215411,-0.19861332,-0.22817811
2022-11-17 05:00:00+00:00,-0.2068047,-0.2240819,-0.21430966,-0.20050567,-0.22724444
2022-11-17 06:00:00+00:00,-0.20889807,-0.2236881,-0.21312165,-0.20322543,-0.22659746
2022-11-17 07:00:00+00:00,-0.21224079,-0.22434163,-0.21298343,-0.20679852,-0.22647214
2022-11-17 08:00:00+00:00,-0.21588445,-0.22474545,-0.21376476,-0.21036726,-0.22688454
2022-11-17 09:00:00+00:00,-0.21926835,-0.2248643,-0.2150647,-0.21359694,-0.22763002
2022-11-17 10:00:00+00:00,-0.22185126,-0.2244176,-0.21654761,-0.21594885,-0.22861391
2022-11-17 11:00:00+00:00,-0.22326648,-0.22367144,-0.21833879,-0.21718538,-0.22950456
2022-11-17 12:00:00+00:00,-0.2236031,-0.22434354,-0.21922177,-0.21733183,-0.22990692
2022-11-17 13:00:00+00:00,-0.22327334,-0.22542053,-0.21952066,-0.21702626,-0.22983488
2022-11-17 14:00:00+00:00,-0.22155613,-0.22503069,-0.21877491,-0.21566239,-0.22919536
2022-11-17 15:00:00+00:00,-0.21912858,-0.22346109,-0.21727473,-0.21339533,-0.22801322
2022-11-17 16:00:00+00:00,-0.21658257,-0.22101766,-0.21598661,-0.21056226,-0.22712466
2022-11-17 17:00:00+00:00,-0.21364778,-0.2189666,-0.21497753,-0.20726639,-0.22656494
2022-11-17 18:00:00+00:00,-0.20998493,-0.217839,-0.21421954,-0.2033503,-0.2255781
2022-11-17 19:00:00+00:00,-0.20550957,-0.21517491,-0.21250051,-0.19906801,-0.22416562
2022-11-17 20:00:00+00:00,-0.20107025,-0.21260926,-0.21045971,-0.19517738,-0.22203606
2022-11-17 21:00:00+00:00,-0.1969398,-0.20978019,-0.20804164,-0.19149226,-0.21958697
